                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5973,                 3.7249,                 1.2277,                0.67484,                0.19681,                0.26738,                0.12199,                 2.1277,                 2.0852,                 1.1169,                 0.0901,                 0.0011,                 0.0011
                      1,                 2.1759,                  1.291,                 1.0479,                0.73593,                0.67376,                0.69098,                0.29092,                 1.9053,                  1.107,                0.97984,                 0.0793,                 0.0023,                 0.0023
                      2,                 1.9742,                 1.0303,                0.99685,                0.68381,                0.74734,                0.72088,                0.30506,                 1.8487,                 1.7202,                0.96097,                 0.0685,                 0.0035,                 0.0035
                      3,                 1.8984,                  1.019,                 0.9818,                0.69482,                0.67332,                0.70245,                0.27933,                 2.0187,                 1.5504,                0.97996,                 0.0577,              0.0046999,              0.0046999
                      4,                 2.1197,                0.95023,                0.98981,                0.71639,                0.73005,                0.75514,                0.31199,                 1.8879,                 1.0207,                 0.9628,                 0.0469,              0.0058998,              0.0058998
                      5,                 2.0819,                 1.0546,                0.98139,                0.70238,                0.71631,                0.73285,                0.29007,                  2.064,                 1.0197,                 1.0139,                 0.0361,              0.0070996,              0.0070996
                      6,                 2.0176,                 1.1162,                0.99434,                0.75968,                0.77837,                0.80825,                0.34649,                  1.861,                 1.1192,                0.98712,               0.025299,              0.0082993,              0.0082993
                      7,                 2.1875,                 1.4006,                 1.0112,                  0.638,                0.79743,                 0.7657,                 0.2975,                 1.9646,                 3.9593,                 1.0222,               0.014499,              0.0094989,              0.0094989
                      8,                 2.1895,                  1.143,                 1.0229,                0.70011,                 0.6985,                0.70197,                0.25953,                  2.035,                 1.1929,                 1.0049,              0.0099984,              0.0099984,              0.0099984
                      9,                 2.0474,                 1.1732,                 1.0029,                0.64542,                0.69148,                0.69733,                0.27764,                 1.9999,                 2.7725,                 1.0462,              0.0099984,              0.0099984,              0.0099984
                     10,                 2.1331,                 1.0342,                 1.0321,                0.75224,                0.74962,                0.78458,                0.30701,                 1.9349,                 1.0475,                0.98025,               0.009998,               0.009998,               0.009998
                     11,                 1.9961,                 1.1378,                0.99048,                0.75581,                0.76419,                0.80434,                0.32208,                 1.9329,                 2.1139,                0.97285,              0.0099976,              0.0099976,              0.0099976
                     12,                  2.073,                 1.0491,                 1.0007,                0.68132,                0.68927,                 0.7216,                0.28554,                 2.0128,                 1.1707,                0.98952,               0.009997,               0.009997,               0.009997
                     13,                 2.1106,                 1.0054,                 1.0011,                0.78506,                0.78197,                0.82723,                0.34838,                 1.8709,                 1.3276,                0.97739,              0.0099965,              0.0099965,              0.0099965
                     14,                 2.0451,                0.89901,                 1.0002,                0.75672,                0.71695,                0.76482,                0.30028,                 1.9897,                 1.2508,                0.99552,              0.0099959,              0.0099959,              0.0099959
                     15,                 2.0601,                 0.9314,                0.98758,                0.77104,                0.72518,                0.79027,                0.33856,                  1.892,                 1.2379,                 0.9736,              0.0099952,              0.0099952,              0.0099952
                     16,                 2.0067,                0.93177,                0.98325,                0.79217,                0.73005,                0.78787,                0.31318,                 2.0015,                0.91634,                0.99823,              0.0099945,              0.0099945,              0.0099945
                     17,                 1.9861,                0.92408,                0.97341,                0.79756,                0.73172,                0.79278,                0.33444,                 1.8834,                 1.1024,                0.95898,              0.0099937,              0.0099937,              0.0099937
                     18,                 1.9911,                0.86838,                0.96871,                0.80823,                0.77926,                0.84068,                0.37308,                 1.8176,                0.93599,                0.94956,              0.0099929,              0.0099929,              0.0099929
                     19,                 1.9619,                0.86018,                0.96097,                0.77593,                0.72119,                0.77809,                0.30613,                 2.0088,                0.99741,                0.99152,              0.0099921,              0.0099921,              0.0099921
                     20,                 1.9237,                0.87373,                0.98017,                 0.8128,                0.78679,                   0.84,                0.36061,                 1.8374,                0.86447,                0.95599,              0.0099912,              0.0099912,              0.0099912
                     21,                 1.9448,                0.88608,                0.96074,                0.80231,                0.75665,                0.81876,                0.36431,                 1.8273,                0.92719,                0.94703,              0.0099902,              0.0099902,              0.0099902
                     22,                 1.9366,                0.84553,                0.96171,                0.80943,                0.71543,                0.80369,                0.35406,                 1.8586,                0.84933,                0.95458,              0.0099892,              0.0099892,              0.0099892
                     23,                 1.9249,                0.87467,                0.94864,                0.83567,                0.74839,                0.82267,                 0.3728,                 1.8113,                0.96585,                0.94639,              0.0099882,              0.0099882,              0.0099882
                     24,                 1.9082,                0.84164,                0.94808,                0.75101,                0.71126,                0.75056,                0.30602,                 1.9547,                 0.8923,                0.97243,              0.0099871,              0.0099871,              0.0099871
                     25,                 1.8616,                0.84508,                0.93754,                0.84303,                 0.7531,                0.84081,                0.37533,                 1.8485,                0.81648,                 0.9558,              0.0099859,              0.0099859,              0.0099859
                     26,                 1.8733,                0.81769,                0.94277,                0.82973,                0.79787,                0.85272,                0.38338,                  1.754,                0.86007,                0.93988,              0.0099847,              0.0099847,              0.0099847
                     27,                 1.8481,                0.82597,                0.94125,                0.85554,                0.76197,                0.84946,                0.38947,                 1.7999,                0.80461,                0.94537,              0.0099835,              0.0099835,              0.0099835
                     28,                 1.7982,                0.81453,                0.94635,                0.84786,                0.78635,                 0.8599,                0.39964,                 1.7483,                0.79737,                0.93289,              0.0099822,              0.0099822,              0.0099822
                     29,                 1.8585,                0.80711,                0.93887,                0.81317,                0.79344,                0.84737,                0.36737,                 1.8704,                0.82145,                0.96346,              0.0099809,              0.0099809,              0.0099809
                     30,                 1.8629,                0.79816,                0.94504,                0.81475,                0.80452,                0.85526,                0.38678,                 1.7706,                0.81483,                0.94329,              0.0099795,              0.0099795,              0.0099795
                     31,                 1.8061,                 0.7989,                0.93388,                0.80225,                0.79485,                0.84104,                0.37643,                 1.7993,                0.84772,                0.94594,               0.009978,               0.009978,               0.009978
                     32,                 1.7974,                0.78064,                0.92678,                0.81187,                0.80275,                  0.853,                 0.3883,                 1.7942,                0.81428,                0.94685,              0.0099765,              0.0099765,              0.0099765
                     33,                 1.8136,                0.79173,                0.92451,                0.78816,                 0.7652,                0.81394,                0.33889,                 1.9028,                0.80647,                0.95929,               0.009975,               0.009975,               0.009975
                     34,                 1.7755,                0.78454,                0.92353,                0.82885,                0.81789,                0.87034,                0.40324,                  1.762,                0.80182,                0.94274,              0.0099734,              0.0099734,              0.0099734
                     35,                 1.7937,                0.77639,                0.92519,                0.80917,                0.80319,                0.84441,                0.38887,                   1.75,                0.83955,                0.93314,              0.0099718,              0.0099718,              0.0099718
                     36,                 1.7618,                0.76095,                0.92747,                0.83449,                0.76551,                0.83672,                0.37873,                 1.8228,                0.79753,                 0.9554,              0.0099701,              0.0099701,              0.0099701
                     37,                 1.7597,                0.78599,                0.92314,                0.81859,                0.79404,                0.84497,                0.39014,                 1.7341,                 0.8823,                0.93423,              0.0099684,              0.0099684,              0.0099684
                     38,                 1.7538,                0.77633,                 0.9203,                0.81844,                0.81472,                0.86431,                0.39202,                 1.8112,                0.78617,                0.95024,              0.0099666,              0.0099666,              0.0099666
                     39,                 1.7789,                0.77103,                0.92576,                0.83835,                 0.8115,                0.87126,                0.41524,                 1.7392,                0.78628,                 0.9357,              0.0099648,              0.0099648,              0.0099648
                     40,                 1.7646,                0.76254,                0.92104,                0.81661,                0.80496,                0.85437,                0.39003,                 1.7938,                0.79447,                0.94636,              0.0099629,              0.0099629,              0.0099629
                     41,                 1.7017,                0.75065,                0.91355,                0.82406,                0.81383,                0.86262,                0.40844,                 1.7644,                 0.7626,                0.95057,               0.009961,               0.009961,               0.009961
                     42,                 1.7336,                0.74132,                 0.9141,                0.82854,                0.80324,                0.86069,                0.40851,                 1.7436,                  0.782,                0.93652,               0.009959,               0.009959,               0.009959
                     43,                 1.7111,                0.74184,                0.90905,                0.80844,                0.78901,                0.84566,                0.38038,                 1.8098,                0.79611,                 0.9488,               0.009957,               0.009957,               0.009957
                     44,                 1.7237,                0.75233,                0.90468,                0.80822,                0.80009,                0.86075,                0.41752,                 1.7031,                0.82265,                0.92803,              0.0099549,              0.0099549,              0.0099549
                     45,                 1.7408,                 0.7516,                0.90394,                0.80992,                0.80186,                0.85146,                0.39269,                  1.816,                0.78778,                0.95105,              0.0099528,              0.0099528,              0.0099528
                     46,                 1.7059,                0.73071,                 0.9066,                0.84211,                0.80142,                0.86799,                0.41128,                 1.7725,                0.78173,                 0.9486,              0.0099506,              0.0099506,              0.0099506
                     47,                  1.702,                0.72945,                 0.9084,                0.82592,                0.79078,                0.85209,                0.38141,                 1.8244,                0.78944,                0.94797,              0.0099484,              0.0099484,              0.0099484
                     48,                  1.716,                 0.7335,                0.89567,                0.84021,                 0.8094,                0.86996,                0.41213,                 1.7427,                0.73934,                0.94258,              0.0099461,              0.0099461,              0.0099461
                     49,                 1.6877,                0.72146,                0.90386,                0.83332,                0.80667,                0.86863,                0.40916,                 1.7589,                0.77089,                0.94123,              0.0099438,              0.0099438,              0.0099438
                     50,                 1.6596,                0.71561,                0.90647,                0.82773,                0.82402,                0.86727,                0.41448,                 1.7195,                0.74897,                0.93104,              0.0099415,              0.0099415,              0.0099415
                     51,                 1.6807,                0.72202,                0.89714,                 0.8211,                0.80363,                0.85894,                0.39688,                 1.7878,                0.75701,                0.94043,              0.0099391,              0.0099391,              0.0099391
                     52,                 1.6434,                0.70607,                0.89718,                0.83832,                0.80903,                0.86923,                0.41714,                  1.726,                 0.7611,                0.93021,              0.0099366,              0.0099366,              0.0099366
                     53,                 1.6277,                0.69747,                0.90497,                0.82901,                0.81649,                0.86396,                 0.4026,                 1.7697,                0.75193,                0.94264,              0.0099341,              0.0099341,              0.0099341
                     54,                 1.6396,                0.70189,                 0.8923,                0.83575,                0.78037,                0.86015,                0.41075,                 1.7391,                0.77083,                0.94037,              0.0099315,              0.0099315,              0.0099315
                     55,                 1.6007,                0.69794,                0.88984,                0.83779,                0.78753,                0.85592,                  0.403,                 1.8086,                0.76771,                0.95554,              0.0099289,              0.0099289,              0.0099289
                     56,                 1.6314,                0.69494,                0.90096,                0.84774,                0.81826,                0.87915,                0.41575,                 1.7074,                 0.7388,                0.93049,              0.0099263,              0.0099263,              0.0099263
                     57,                 1.5945,                0.68914,                0.89344,                0.83883,                0.80098,                0.86906,                0.41587,                 1.7357,                0.74244,                0.93974,              0.0099236,              0.0099236,              0.0099236
                     58,                 1.5971,                0.68693,                0.89002,                0.84031,                0.78812,                 0.8667,                0.40531,                 1.7699,                0.75553,                0.94115,              0.0099208,              0.0099208,              0.0099208
                     59,                 1.6201,                0.68771,                0.89075,                0.83838,                0.78869,                0.86625,                0.40446,                 1.7662,                0.75478,                0.94516,              0.0099181,              0.0099181,              0.0099181
                     60,                 1.5885,                0.68377,                0.88722,                0.82964,                0.80895,                0.86386,                0.41382,                 1.7235,                0.75592,                0.93487,              0.0099152,              0.0099152,              0.0099152
                     61,                 1.5969,                0.67708,                0.88963,                0.83676,                0.80053,                0.86735,                0.40717,                 1.7412,                0.77495,                0.94078,              0.0099123,              0.0099123,              0.0099123
                     62,                 1.6014,                0.67387,                0.88237,                 0.8289,                0.77793,                0.85193,                 0.3973,                   1.78,                0.77653,                0.94752,              0.0099094,              0.0099094,              0.0099094
                     63,                 1.5921,                0.67573,                0.88399,                0.83833,                 0.7992,                0.86369,                0.41411,                 1.7118,                0.80431,                0.93707,              0.0099064,              0.0099064,              0.0099064
                     64,                 1.5661,                0.66807,                0.88334,                0.84278,                0.78812,                0.85657,                0.39991,                 1.7558,                0.75028,                0.94222,              0.0099034,              0.0099034,              0.0099034
                     65,                 1.5278,                0.65863,                0.87908,                0.83572,                 0.7915,                0.86432,                0.41183,                 1.7422,                 0.7544,                0.94746,              0.0099003,              0.0099003,              0.0099003
                     66,                 1.5434,                0.65373,                0.88766,                 0.8377,                0.80718,                0.86856,                0.41578,                 1.7032,                0.75115,                0.93339,              0.0098972,              0.0098972,              0.0098972
                     67,                 1.5723,                0.67468,                0.88144,                 0.8231,                0.77527,                0.84992,                0.39038,                 1.7911,                0.76867,                0.94847,               0.009894,               0.009894,               0.009894
                     68,                 1.5597,                0.67123,                0.87678,                0.84129,                0.80363,                 0.8687,                0.42263,                 1.6794,                0.75398,                0.93274,              0.0098908,              0.0098908,              0.0098908
                     69,                 1.5285,                0.65203,                0.87778,                  0.815,                0.78723,                0.85354,                0.39404,                  1.774,                0.78512,                0.94015,              0.0098875,              0.0098875,              0.0098875
                     70,                 1.5378,                0.65968,                0.87139,                0.83021,                0.79211,                0.86188,                0.41103,                  1.735,                0.78837,                0.93887,              0.0098842,              0.0098842,              0.0098842
                     71,                   1.52,                0.64439,                0.88352,                0.83024,                0.79832,                0.85857,                 0.4011,                  1.789,                0.78329,                0.95155,              0.0098808,              0.0098808,              0.0098808
                     72,                 1.5258,                0.64708,                0.87542,                0.84969,                 0.7859,                0.86761,                0.41083,                 1.7457,                0.75644,                0.94485,              0.0098774,              0.0098774,              0.0098774
                     73,                  1.509,                0.64135,                0.87291,                0.82448,                0.78369,                0.85211,                0.39321,                  1.804,                0.81827,                0.95529,              0.0098739,              0.0098739,              0.0098739
                     74,                 1.4857,                0.63184,                0.87145,                0.84132,                0.78963,                0.85634,                0.41037,                 1.7143,                0.80544,                0.93351,              0.0098704,              0.0098704,              0.0098704
                     75,                 1.4735,                0.63461,                0.87221,                0.83928,                0.81014,                0.86705,                0.41949,                 1.7102,                0.77851,                0.93399,              0.0098668,              0.0098668,              0.0098668
                     76,                 1.4842,                0.62964,                0.87408,                 0.8187,                0.78856,                0.84616,                0.39088,                 1.7848,                0.79298,                0.94534,              0.0098632,              0.0098632,              0.0098632
                     77,                 1.4761,                0.62653,                0.87489,                0.84346,                0.79566,                0.87415,                0.42211,                 1.6906,                0.76956,                0.92732,              0.0098596,              0.0098596,              0.0098596
                     78,                 1.4797,                0.62776,                0.87073,                0.82386,                0.80651,                0.86158,                0.40871,                 1.7246,                0.77576,                0.93671,              0.0098559,              0.0098559,              0.0098559
                     79,                 1.4646,                0.63229,                0.86023,                0.83611,                0.79832,                0.86404,                0.41614,                 1.7202,                0.74356,                0.93741,              0.0098521,              0.0098521,              0.0098521
